rgiid,period,area,dhdt,err_dhdt,dvoldt,err_dvoldt,dmdt,err_dmdt,dmdtda,err_dmdtda,perc_area_meas,perc_area_res,valid_obs,valid_obs_py,reg
RGI60-16.00003,2000-01-01_2004-01-01,149000.0,0.2807,1.1899,41831.0,177554.0,3.6e-05,0.000151,0.2386,1.0145,1.0,1.0,6.06,2.19,16
RGI60-16.00003,2000-01-01_2005-01-01,149000.0,0.2536,0.951,37781.0,141971.0,3.2e-05,0.000121,0.2155,0.8116,1.0,1.0,11.0,3.19,16
RGI60-16.00003,2000-01-01_2010-01-01,149000.0,0.0827,0.4828,12318.0,71997.0,1e-05,6.1e-05,0.0703,0.4111,1.0,1.0,20.69,6.88,16
RGI60-16.00003,2000-01-01_2020-01-01,149000.0,-0.2322,0.248,-34592.0,37798.0,-2.9e-05,3.2e-05,-0.1973,0.2208,1.0,1.0,45.06,16.69,16
RGI60-16.00003,2001-01-01_2002-01-01,149000.0,0.342,4.5317,50964.0,675328.0,4.3e-05,0.000574,0.2907,3.8532,1.0,1.0,3.62,1.0,16
RGI60-16.00003,2002-01-01_2003-01-01,149000.0,0.2844,4.4917,42379.0,669334.0,3.6e-05,0.000569,0.2418,3.8188,1.0,1.0,0.0,0.0,16
RGI60-16.00003,2002-01-01_2004-01-01,149000.0,0.2084,2.2314,31052.0,332553.0,2.6e-05,0.000283,0.1771,1.8976,1.0,1.0,2.25,1.0,16
RGI60-16.00003,2003-01-01_2004-01-01,149000.0,0.1324,4.4547,19726.0,663761.0,1.7e-05,0.000564,0.1125,3.7867,1.0,1.0,2.25,1.0,16
RGI60-16.00003,2004-01-01_2005-01-01,149000.0,0.1449,4.4208,21584.0,658720.0,1.8e-05,0.00056,0.1231,3.7579,1.0,1.0,4.94,1.0,16
RGI60-16.00003,2004-01-01_2006-01-01,149000.0,0.1256,2.2022,18710.0,328157.0,1.6e-05,0.000279,0.1067,1.8722,1.0,1.0,7.94,2.0,16
RGI60-16.00003,2004-01-01_2008-01-01,149000.0,-0.0047,1.0919,-702.0,162687.0,-1e-06,0.000138,-0.004,0.9281,1.0,1.0,11.62,3.69,16
RGI60-16.00003,2005-01-01_2006-01-01,149000.0,0.1063,4.3997,15836.0,655567.0,1.3e-05,0.000557,0.0903,3.7399,1.0,1.0,3.0,1.0,16
RGI60-16.00003,2005-01-01_2010-01-01,149000.0,-0.0882,0.899,-13145.0,133978.0,-1.1e-05,0.000114,-0.075,0.7645,1.0,1.0,9.69,3.69,16
RGI60-16.00003,2006-01-01_2007-01-01,149000.0,-0.1378,4.3804,-20531.0,652696.0,-1.7e-05,0.000555,-0.1171,3.7235,1.0,1.0,0.69,0.69,16
RGI60-16.00003,2006-01-01_2008-01-01,149000.0,-0.135,2.173,-20114.0,323815.0,-1.7e-05,0.000275,-0.1147,1.8475,1.0,1.0,3.69,1.69,16
RGI60-16.00003,2007-01-01_2008-01-01,149000.0,-0.1322,4.3432,-19697.0,647152.0,-1.7e-05,0.00055,-0.1124,3.6919,1.0,1.0,3.0,1.0,16
RGI60-16.00003,2008-01-01_2009-01-01,149000.0,-0.1038,4.3297,-15467.0,645132.0,-1.3e-05,0.000548,-0.0882,3.6803,1.0,1.0,3.0,1.0,16
RGI60-16.00003,2008-01-01_2010-01-01,149000.0,-0.1387,2.2211,-20667.0,330983.0,-1.8e-05,0.000281,-0.1179,1.8884,1.0,1.0,3.0,1.0,16
RGI60-16.00003,2008-01-01_2012-01-01,149000.0,-0.2367,1.0722,-35263.0,159957.0,-3e-05,0.000136,-0.2012,0.9138,1.0,1.0,7.75,3.0,16
RGI60-16.00003,2009-01-01_2010-01-01,149000.0,-0.1736,4.4627,-25868.0,664975.0,-2.2e-05,0.000565,-0.1476,3.7936,1.0,1.0,0.0,0.0,16
