country,short_name,names,id,latitude,longitude,gtng_region,glims_id,rgi50_ids,rgi60_ids,rgi70_ids,wgi_id,parent_glacier_id,references,remarks
CN,RGI60-14.04149,,109271,36.2476,76.4738,14_south_asia_west,,,RGI60-14.04149,,,,,
CN,RGI60-14.04150,,109272,36.243,76.4037,14_south_asia_west,,,RGI60-14.04150,,,,,
CN,RGI60-14.04151,,109273,36.2386,76.3891,14_south_asia_west,,,RGI60-14.04151,,,,,
CN,RGI60-14.04153,,109274,36.2433,76.4901,14_south_asia_west,,,RGI60-14.04153,,,,,
CN,RGI60-14.04164,,109284,36.2347,76.3757,14_south_asia_west,,,RGI60-14.04164,,,,,
CN,RGI60-14.04165,,109285,36.2295,76.3756,14_south_asia_west,,,RGI60-14.04165,,,,,
CN,RGI60-14.04168,,109287,36.2281,76.3909,14_south_asia_west,,,RGI60-14.04168,,,,,
CN,RGI60-14.04182,,109297,36.2476,76.4567,14_south_asia_west,,,RGI60-14.04182,,,,,
CN,RGI60-14.04183,,109298,36.2447,76.4709,14_south_asia_west,,,RGI60-14.04183,,,,,
CN,RGI60-14.04186,,109300,36.2318,76.4688,14_south_asia_west,,,RGI60-14.04186,,,,,
CN,RGI60-14.04187,,109301,36.2304,76.4735,14_south_asia_west,,,RGI60-14.04187,,,,,
CN,RGI60-14.04192,,109306,36.2261,76.4767,14_south_asia_west,,,RGI60-14.04192,,,,,
CN,RGI60-14.04202,,109313,36.2235,76.5556,14_south_asia_west,,,RGI60-14.04202,,,,,
CN,RGI60-14.04216,,109325,36.218,76.5755,14_south_asia_west,,,RGI60-14.04216,,,,,
CN,RGI60-14.04217,,109326,36.2262,76.482,14_south_asia_west,,,RGI60-14.04217,,,,,
CN,RGI60-14.04218,,109327,36.2234,76.4862,14_south_asia_west,,,RGI60-14.04218,,,,,
CN,RGI60-14.04234,,109338,36.2213,76.4956,14_south_asia_west,,,RGI60-14.04234,,,,,
CN,RGI60-14.04242,,109345,36.2284,76.4895,14_south_asia_west,,,RGI60-14.04242,,,,,
CN,RGI60-14.04246,,109346,36.2202,76.4108,14_south_asia_west,,,RGI60-14.04246,,,,,
CN,RGI60-14.04252,,109351,36.2169,76.5077,14_south_asia_west,,,RGI60-14.04252,,,,,
CN,RGI60-14.04255,,109352,36.2085,76.586,14_south_asia_west,,,RGI60-14.04255,,,,,
CN,RGI60-14.04259,,109356,36.2134,76.5163,14_south_asia_west,,,RGI60-14.04259,,,,,
CN,RGI60-14.04265,,109361,36.214,76.4134,14_south_asia_west,,,RGI60-14.04265,,,,,
CN,RGI60-14.04275,,109366,36.2119,76.5643,14_south_asia_west,,,RGI60-14.04275,,,,,
CN,RGI60-14.04276,,109367,36.2185,76.557,14_south_asia_west,,,RGI60-14.04276,,,,,
CN,RGI60-14.04281,,109370,36.2203,76.5406,14_south_asia_west,,,RGI60-14.04281,,,,,
CN,RGI60-14.04282,,109371,36.2236,76.548,14_south_asia_west,,,RGI60-14.04282,,,,,
CN,RGI60-14.04287,,109374,36.2067,76.4524,14_south_asia_west,,,RGI60-14.04287,,,,,
CN,RGI60-14.04288,,109375,36.2069,76.5776,14_south_asia_west,,,RGI60-14.04288,,,,,
CN,RGI60-14.04298,,109382,36.2029,76.5852,14_south_asia_west,,,RGI60-14.04298,,,,,
CN,RGI60-14.04301,,109385,36.2044,76.555,14_south_asia_west,,,RGI60-14.04301,,,,,
CN,RGI60-14.04330,,109404,36.2037,76.5677,14_south_asia_west,,,RGI60-14.04330,,,,,
CN,RGI60-14.04331,,109405,36.2057,76.5577,14_south_asia_west,,,RGI60-14.04331,,,,,
CN,RGI60-14.04332,,109406,36.2047,76.5615,14_south_asia_west,,,RGI60-14.04332,,,,,
CN,RGI60-14.04333,,109407,36.1926,76.5637,14_south_asia_west,,,RGI60-14.04333,,,,,
CN,RGI60-14.04337,,109409,36.1911,76.5563,14_south_asia_west,,,RGI60-14.04337,,,,,
CN,RGI60-14.04339,,109411,36.2012,76.4457,14_south_asia_west,,,RGI60-14.04339,,,,,
CN,RGI60-14.04340,,109412,36.1985,76.445,14_south_asia_west,,,RGI60-14.04340,,,,,
CN,RGI60-14.04341,,109413,36.1911,76.4517,14_south_asia_west,,,RGI60-14.04341,,,,,
CN,RGI60-14.04345,,109416,36.1876,76.5579,14_south_asia_west,,,RGI60-14.04345,,,,,
CN,RGI60-14.04349,,109417,36.1866,76.4755,14_south_asia_west,,,RGI60-14.04349,,,,,
CN,RGI60-14.04351,,109419,36.1875,76.4649,14_south_asia_west,,,RGI60-14.04351,,,,,
CN,RGI60-14.04352,,109420,36.1861,76.5987,14_south_asia_west,,,RGI60-14.04352,,,,,
CN,RGI60-14.04353,,109421,36.1849,76.568,14_south_asia_west,,,RGI60-14.04353,,,,,
CN,RGI60-14.04354,,109422,36.1836,76.5737,14_south_asia_west,,,RGI60-14.04354,,,,,
CN,RGI60-14.04361,,109425,36.1991,76.579,14_south_asia_west,,,RGI60-14.04361,,,,,
CN,RGI60-14.04362,,109426,36.2015,76.5837,14_south_asia_west,,,RGI60-14.04362,,,,,
CN,RGI60-14.04363,,109427,36.1807,76.5982,14_south_asia_west,,,RGI60-14.04363,,,,,
CN,RGI60-14.04364,,109428,36.183,76.6023,14_south_asia_west,,,RGI60-14.04364,,,,,
CN,RGI60-14.04373,,109435,36.1795,76.4434,14_south_asia_west,,,RGI60-14.04373,,,,,
CN,RGI60-14.04378,,109440,36.1786,76.5917,14_south_asia_west,,,RGI60-14.04378,,,,,
CN,RGI60-14.04380,,109442,36.1792,76.5748,14_south_asia_west,,,RGI60-14.04380,,,,,
CN,RGI60-14.04381,,109443,36.1745,76.6026,14_south_asia_west,,,RGI60-14.04381,,,,,
CN,RGI60-14.04382,,109444,36.1732,76.6002,14_south_asia_west,,,RGI60-14.04382,,,,,
CN,RGI60-14.04383,,109445,36.1819,76.5781,14_south_asia_west,,,RGI60-14.04383,,,,,
CN,RGI60-14.04384,,109446,36.1775,76.5944,14_south_asia_west,,,RGI60-14.04384,,,,,
CN,RGI60-14.04385,,109447,36.1752,76.5966,14_south_asia_west,,,RGI60-14.04385,,,,,
CN,RGI60-14.04387,,109449,36.1782,76.4492,14_south_asia_west,,,RGI60-14.04387,,,,,
CN,RGI60-14.04388,,109450,36.1832,76.4567,14_south_asia_west,,,RGI60-14.04388,,,,,
CN,RGI60-14.04396,,109456,36.1684,76.4677,14_south_asia_west,,,RGI60-14.04396,,,,,
CN,RGI60-14.04398,,109457,36.1612,76.4797,14_south_asia_west,,,RGI60-14.04398,,,,,
CN,RGI60-14.04399,,109458,36.1621,76.4853,14_south_asia_west,,,RGI60-14.04399,,,,,
CN,RGI60-14.04400,,109459,36.1617,76.4723,14_south_asia_west,,,RGI60-14.04400,,,,,
CN,RGI60-14.04460,,109500,36.1295,76.5011,14_south_asia_west,,,RGI60-14.04460,,,,,
CN,RGI60-14.04594,,109582,36.2102,76.0785,14_south_asia_west,,,RGI60-14.04594,,,,,
CN,RGI60-14.04595,,109583,36.1693,76.1026,14_south_asia_west,,,RGI60-14.04595,,,,,
CN,RGI60-14.04596,,109584,36.17,76.1071,14_south_asia_west,,,RGI60-14.04596,,,,,
CN,RGI60-14.04599,,109585,36.0678,76.1063,14_south_asia_west,,,RGI60-14.04599,,,,,
CN,RGI60-14.04600,,109586,36.0643,76.1094,14_south_asia_west,,,RGI60-14.04600,,,,,
CN,RGI60-14.04601,,109587,36.0236,76.2154,14_south_asia_west,,,RGI60-14.04601,,,,,
CN,RGI60-14.04602,,109588,36.0262,76.2099,14_south_asia_west,,,RGI60-14.04602,,,,,
CN,RGI60-14.04603,,109589,35.9982,76.1939,14_south_asia_west,,,RGI60-14.04603,,,,,
CN,RGI60-14.04604,,109590,36.004,76.1925,14_south_asia_west,,,RGI60-14.04604,,,,,
CN,RGI60-14.04605,,109591,35.9941,76.2489,14_south_asia_west,,,RGI60-14.04605,,,,,
CN,RGI60-14.04606,,109592,35.9828,76.174,14_south_asia_west,,,RGI60-14.04606,,,,,
CN,RGI60-14.04607,,109593,35.9779,76.1771,14_south_asia_west,,,RGI60-14.04607,,,,,
